location,date,new_cases
Davao del Norte,2020-04-13,0
Davao del Norte,2020-04-14,0
Davao del Norte,2020-04-15,0
Davao del Norte,2020-04-16,0
Davao del Norte,2020-04-17,0
Davao del Norte,2020-04-18,0
Davao del Norte,2020-04-19,0
Davao del Norte,2020-04-20,0
Davao del Norte,2020-04-21,0
Davao del Norte,2020-04-22,0
Davao del Norte,2020-04-23,0
Davao del Norte,2020-04-24,0
Davao del Norte,2020-04-25,0
Davao del Norte,2020-04-26,0
Davao del Norte,2020-04-27,0
Davao del Norte,2020-04-28,0
Davao del Norte,2020-04-29,0
Davao del Norte,2020-04-30,0
Davao del Norte,2020-05-01,0
Davao del Norte,2020-05-02,0
Davao del Norte,2020-05-03,1
Davao del Sur,2020-03-21,2
Davao del Sur,2020-03-22,0
Davao del Sur,2020-03-23,2
Davao del Sur,2020-03-24,0
Davao del Sur,2020-03-25,0
Davao del Sur,2020-03-26,0
Davao del Sur,2020-03-27,1
Davao del Sur,2020-03-28,2
Davao del Sur,2020-03-29,16
Davao del Sur,2020-03-30,18
Davao del Sur,2020-03-31,0
Davao del Sur,2020-04-01,9
Davao del Sur,2020-04-02,0
Davao del Sur,2020-04-03,2
Davao del Sur,2020-04-04,6
Davao del Sur,2020-04-05,6
Davao del Sur,2020-04-06,0
Davao del Sur,2020-04-07,4
Davao del Sur,2020-04-08,2
Davao del Sur,2020-04-09,2
Davao del Sur,2020-04-10,0
Davao del Sur,2020-04-11,0
Davao del Sur,2020-04-12,0
Davao del Sur,2020-04-13,0
Davao del Sur,2020-04-14,3
Davao del Sur,2020-04-15,3
Davao del Sur,2020-04-16,2
Davao del Sur,2020-04-17,2
Davao del Sur,2020-04-18,3
Davao del Sur,2020-04-19,0
Davao del Sur,2020-04-20,6
Davao del Sur,2020-04-21,3
Davao del Sur,2020-04-22,5
Davao del Sur,2020-04-23,1
Davao del Sur,2020-04-24,0
Davao del Sur,2020-04-25,1
Davao del Sur,2020-04-26,5
Davao del Sur,2020-04-27,0
Davao del Sur,2020-04-28,6
Davao del Sur,2020-04-29,3
Davao del Sur,2020-04-30,0
Davao del Sur,2020-05-01,0
Davao del Sur,2020-05-02,0
Davao del Sur,2020-05-03,11
Davao del Sur,2020-05-04,1
Davao del Sur,2020-05-05,0
Davao del Sur,2020-05-06,11
Davao del Sur,2020-05-07,6
Davao del Sur,2020-05-08,1
Davao del Sur,2020-05-09,9
Davao del Sur,2020-05-10,0
Davao del Sur,2020-05-11,0
Davao del Sur,2020-05-12,0
Davao del Sur,2020-05-13,0
Davao del Sur,2020-05-14,7
Davao del Sur,2020-05-15,12
Guimaras,2020-05-03,1
Guimaras,2020-05-04,0
Guimaras,2020-05-05,0
Guimaras,2020-05-06,0
Guimaras,2020-05-07,1
Ifugao,2020-04-26,1
Ifugao,2020-04-27,0
Ifugao,2020-04-28,0
Ifugao,2020-04-29,0
Ifugao,2020-04-30,0
Ifugao,2020-05-01,0
Ifugao,2020-05-02,0
Ifugao,2020-05-03,0
Ifugao,2020-05-04,0
Ifugao,2020-05-05,0
Ifugao,2020-05-06,0
Ifugao,2020-05-07,0
Ifugao,2020-05-08,0
Ifugao,2020-05-09,0
Ifugao,2020-05-10,0
Ifugao,2020-05-11,0
Ifugao,2020-05-12,0
Ifugao,2020-05-13,1
Ilocos Norte,2020-04-02,2
Ilocos Norte,2020-04-03,1
Ilocos Sur,2020-03-31,1
Iloilo,2020-03-21,1
Iloilo,2020-03-22,0
Iloilo,2020-03-23,0
Iloilo,2020-03-24,0
Iloilo,2020-03-25,1
Iloilo,2020-03-26,0
Iloilo,2020-03-27,1
Iloilo,2020-03-28,2
Iloilo,2020-03-29,1
Iloilo,2020-03-30,0
Iloilo,2020-03-31,1
Iloilo,2020-04-01,0
Iloilo,2020-04-02,0
Iloilo,2020-04-03,1
Iloilo,2020-04-04,5
Iloilo,2020-04-05,0
Iloilo,2020-04-06,0
Iloilo,2020-04-07,0
Iloilo,2020-04-08,0
Iloilo,2020-04-09,0
Iloilo,2020-04-10,5
Iloilo,2020-04-11,0
Iloilo,2020-04-12,0
Iloilo,2020-04-13,1
Iloilo,2020-04-14,0
Iloilo,2020-04-15,0
Iloilo,2020-04-16,0
Iloilo,2020-04-17,1
Iloilo,2020-04-18,3
Iloilo,2020-04-19,0
Iloilo,2020-04-20,0
Iloilo,2020-04-21,0
Iloilo,2020-04-22,0
Iloilo,2020-04-23,0
Iloilo,2020-04-24,0
Iloilo,2020-04-25,0
Iloilo,2020-04-26,1
Iloilo,2020-04-27,1
Iloilo,2020-04-28,1
Iloilo,2020-04-29,0
Iloilo,2020-04-30,0
Iloilo,2020-05-01,1
